,col
272,"This is a great smart speaker.  The sound quality is good for its size and works well in bedroom and kitchen.  The quality of the voice recognition and the answers are much better than the Alexa we also own.  We use it to control lights, smart thermostat and casting to the TV and stereo.  Updates from Google are frequent and provide new functionality.  If you use Google services, this is the smart speaker for you."
273,POOR
274,"The google home device has been great so far. The best feature I like is the ability to ask for a certain kind of music and google seems to know exactly what I want. Other great features I like is when sitting around the table with my 4 children the Google Home is very helpful with homework questions. 

The only thing I would like to see is the link between my iPhone and other devices

The alarm I think should be on a different audio setting than the device itself. The alarm isn't loud enough. 

I definitely see this device well worth the money and it's future uses increasing."
275,Love it. Own two.
276,I've never had the echo but I bought the google home instead my first impression is it is very responsive to voice and questions i  like it so far and i'm sure it will get better found out well doing research that it can control lights and plugs and other home automation devices since i have some of the devices it controls i tried it so now when I want to turn up temp in house i tell google set temp to  70. I bought a second one for my kids house and may get another for me as they update it
277,"The voice recognition is very good and has decent reachability within a typical apartment bedroom. Provides a decent set of services like maps (ETA only), show times, Uber, Pandora, Google music to name a few.. 

Feel looks soft and build is decent and fits well with my furniture in the room (YMV depending on the furniture color and texture) 

All in all satisfied with the price and product."
278,this is a good product if you like your conversations to be recorded even when its off
279,"Recently brought the google home and i must say im very impressed with it! sound quality for a little speaker is quite amazing, it answers all my questions with ease, and is a great alarm clock, its early days for the home and it will be rolled out across the world by the end of 2017, and it will get better and better! google have sold more homes in one month than amazon did with the echo in six months! 
Here is video what's in the box! If you want go and check it out:
https://www.youtube.com/watch?v=w9_qLY8vS-k"
280,Is great but not sure how to program it for things I want to use it for! Came with no directions
281,"This is great! The only drawback is the minimal electronics that you can use with it currently. I know other companies will be jumping on the bandwagon for this. There are some that don't advertise it, yet, but their products will work with the Google Home. If you're familiar with the IFTTT site, Google Home can use some of these pre-programmed apps to shutoff/on lights and other things. It responds to your commands like you are talking to a person, whereas the Amazon Echo needs specific statements."
282,"I bought this for my husband since his heart is always for Apple but he likes to play with all the tech toys. This way he could have a Google home without feeling guilty for wasting money on it. He set it up easily and we have found it to be a lot more useful than we ever expected. Especially since our hands out usually full with a newborn baby. Google has answered questions about newborns sneezing, played songs to lull/dance with the baby too, and tells me the time for breastfeeding all at a simple voice command.  She's also become part of our morning routine in just one week as we are feeding/changing the baby she tells us the weather and starts our news briefing from our chosen sources. We have both been rather impressed overall and as regular users of Siri and Alexa, we didn't think we would be. Well done Google."
283,"I ask it for many thinks and keep say Sorry I can'r help you with, or I still learning it obvious that it really is a disappointment for me"
284,Easiest electronic to set up that I've ever bought.  The ability to have appointments for 3 family members just a request away is so very helpful and convenient!  I can get time and temperature anytime and ask questions that most of the time the Google Assistant can answer.  Best thing ever and would recommend to those who could use a bit of help in keeping up with appointments or just having the ability to obtain information by just asking!!
285,"questions and commands have to be phrased in a certain way or else they won't br understood, but I expected that. You also have to pause a little bit after waking it up before you ask a question or give a command.  I expected response to be a bit faster, but I can deal with it as it is.  Overall, very satisfactory.  We are learning more about it's capabilities."
286,"I always hated when people take out their smart phones to check a fact. Now I can check basic information in my kitchen, have translations and animal sounds for the small ones. I believe that the smart phone will be less and this kind of voice recognition systems more.
If you accept the creepy always listening part, then we can recommend the permanent Google presence in your house."
287,"First off, kudos to Walmart for it's ""Pick it up today"" service.  During the height of holiday shopping all I had to do was purchase online (so I was sure it was in stock) and just go down and pick it up without any waiting, searching or drama.  Great system!

As far as the Google Home product it is absolutely amazing. We haven't even scratched the surface of it's current capabilities and Google hasn't even scratched the surface of it's future capabilities.  It's fun (has games, jokes and wisecrack responses). It's smart (Answers nearly every question we threw at it). It's intuitive (I requested a song by merely singing a line from the song and after playing the song it kept playing similar music until I asked it to stop).  The sound is really good for such a small unit. Nice bass.  It's also amazing how far away from it I can be and it still works. I was telling my wife in our bedroom about what I had just said to it and it picked it up all the way from the living room and responded. It's also really an attractive addition to the decor.

As you might have picked up I was very pleased.  So much so that we bought one for both our son and daughter for Christmas."
288,The set up was so easy.
289,Got Google home for my girlfriend for xmas. The whole family had fun with it. Her parents and her daughter.  The only thing that I disliked was that the volume was hard to get to go up and down. We kept saying. Ok Google. Turn the music up or down.  And it seemed like it was having trouble understanding. But all in all it is a cool item. We still use it but not as much as thought we would. But for 150 you can't really complain.
290,"Glad i got this product. I got the first one and liked it so well i bought another
Only problem is there seems to be some type of price fix because i have been unable to purchase one for under $129.00  Seems funny all stores have same price and they are not available at the two large membership clubs"
291,"I purchased four of these  for Christmas.  Three were gifts for my children and their families and on was for myself.  Google home was easy to install and I had it up and running within a matter of minutes.  A great value, the sound quality of the music is excellent.  Now, my grand daughters may wear Google out with their constant questions and request for music, but so far it is working excellently! :-)"
292,"I also have a dot and Alexa.  The dot is the best.... (not for sound) with Google Home it pop's and crackle. When playing my local Radio. Google does not have as many app's and does not do as much as Dot & Alexa.  Google technicians need to get to work!!!!!!
If I had purchased Google Home I would take it back for a refund. But as a gift it works good in the kitchen."
293,I purchase the Groupon because I thought it'd be a nice product to get and I liked it very much ever since I got home it's been very it was easy to set up and very easy years it's had a couple of glitches though but it was pretty minor I just had to reset it and stop working for a bit and then I just unplugged it and plugged it back in so I would recommend it to others is a very fun product to use.
294,"We bought a google home for ourselves (we're in our 60's) and use it to answer questions and play music. It works perfectly for that.
We bought each of our adult children one for Xmas knowing they would get the same enjoyment we do out of it plus they are more tech savvy than us to add things like lights, chromecast etc. 
We feel it's a great gift idea, we even bought one for a  20 year old granddaughter away at college."
295,"In Puerto Rico non functional. Even if you ask gooogle what is the fee for a US passport renewal it comes back with the fee in British pound. 

Anything you ask about Puerto Rico all  she answer is sorry I am still learning.  In example: Who was the 3rd governer... Her Spanish pronounciation is too bad. Even when you ask for temperature she comes back in C and not in F.

I end up returning the Product."
296,"Easy set up, very responsive, and intuitive.  I like that it is compact and not annoying, will play my favorite music and so much more."
297,Works really well. It is a lot of fun. The game show is fun to play. Lots of trivia questions. Is not too accurate when taking music requests after the You Tube Red free trial is over. That part I do NOT like. But overall it is a pretty awesome unit.
298,"Sounds great!!  
 My daughter and I love it. 

 We love music & it plays just about any song  thru U Tube Red. 

The device comes with a free 6 month free trial of utube Red 
Not sure how much access to music we will have after free trial is up. 

Google Home will pay trivia games with you which my 16 year old daughter really loved. 

I would definitely recommend Google Home to a friend."
299,The Google Home work perfect for me.  For litten music
300,While not perfect this really is an excellent entry level product. We played with it for hours asking it loads of questions. While working on the computer I often have to stop and go seek information. This has filled that need most of the time. I purchased this for fun and now am using it as a timesaver business tool.
301,"I love this thing,,,,the only downside is that in order to get the most out of it you still have to spend more money and wait for future updates ,,,I have it connected to philips hue lights,, another expense but it works beautiful,,,Hey, google, turn lights off/on,,,dim lights,change color light ect,,,,I got it connected to my tv ,,,,another expense for the logitech harmony hub with remote but works  nicely,,,ok google ,,tv off/on in living room or bedroom tv ,,,3 chromecast audio connected to different speakers around house ,then create a home group and ,ok google play  music on home group and all speakers playing or choose which chromecast  to play music from,,,it takes some time to setup and patience but worth it, plus lots of digging on info on Internet to make it right,,Happy headaches, ,,"
302,Easy to set up I purchased some wifi smart outlets  (wemo) and wifi smart bulbs  (geeni) from Wal-Mart through Google express 20% coupon came with the Google home app they all work great without a hub
303,Is the best thing I could have ever bought myself this year I love it it answers everything I need it wakes me up it's just the best thing in my house
304,"Gives me a lot of joy this toy, together with the Cromcast Audio I enjoy streaming music to my receiver and hearing music through my speakers."
305,"We had purchased an Echo for our son and wanted to see how Google was going to do the same kind of assistant.  The news, sports, weather timers and some fun stuff had made this worthwhile but we are looking forward to the unit getting smarter as time goes on.  We use the music and enjoy that and have her run a trivia game from time to tim."
306,"Sound quality is good. Better than the echo.  Has to play music from a premium account like spotify or YouTube red, or your personal library. We have all those so no biggie. But if you dont have any set up and only have Amazon prime, you are gonna just want to get the echo. Main issue I have is it usually only responds to my husbands voice and if the volume is over 8, forget about it responding at all. I don't like that it has to have 100% full access to my phone just to set up a shopping list, for, now I will be doing my shopping list the old fashion way. Otherwise it cokes in handy for wanting music for,my disabled son, or looking up nutrition information while cooking."
307,"Love 99% of what this does for us.  Searches, Weather, News, Music, Fun games, etc...
Every once in a while, she starts talking to us, so we sound like we are saying OK Google.  Great addition to our family."
308,"this thing is so cool.It dose all the stuff for me. it play's my music,set's timers and everything else."
309,"I have truly enjoyed the Google Home.  As well as offering some fun, it is useful in keeping lists, reminders, and notes. It is great as an alarm and a timer, and listening to music is enjoyable.   I am looking forward to increased things that Googlewill add to the capabilities"
310,"Does exactly what I needed., which is looking up stuff and answering questions from across the room.  I haven't tried it for anything else, but it does that well."
311,The product arrived on time and intact.  The product came with easy to read and follow instructions and the item was able to be set up for use within minutes.
312,"Gives you instant results from news and weather to music and videos. Still behind Amazon Alexa as far as what it can all do, but close. If you don't want to spend a lot and still have most features as Alexa, Google Home is your best option."
313,"This was a Christmas gift for my husband who is not a tecky.
Once I did the setup, it works great.  He loves it.  As his eyesight is not as good as it use to be, this voice command works wonderful for him.
Setup was very easy with no complications."
314,"Very helpful in answering general questions and reporting weather forecasts. Also has 3 game functions (mad libs, trivia with up to 4 people, and crystal ball). I also like that I can easily stream music from a mobile device to the Google Home speaker."
315,Was very difficult to set up.  Finally gave up and returned the item.
316,Great sound!  I use it a lot for play music and radio stations.  Interesting that Amazon Prime doesn't show Google Home when I searched for it.
317,"I bought this on a lark, but have become quite enamored with it.  Plays music on demand from Spotify, helps manage my grocery list, and turns off and on my smart devices. Takes getting used to talking to an object, but once you get over the hump, its great! Highly recommended."
318,It's no Amazon Echo. This thing is barely compatible with any of my home automation devices. It can do all the basic stuff that the Echo could do years ago. Do yourself a favor and just go buy two echo dots for the price of this garbage.
319,Love using this site!
320,The google home is a great product.  It is both fun and useful.  I use it for everything from checking the weather to keeping my grocery list.  I believe the functionality will continue to grow.
321,"In no time at all I had it controlling my; AC, Lights, and TV.  It helps to be somewhat technical."
322,"Love the Google Home assistant, does everything I need to control my devices, plays music and anytime I want to look some thing up, Google Home can get me an answer, love this device!"
323,"We love our new Google Home device. Voice recognition works pretty well, and both adults and children alike are fully using most features. Would definitely recommend to others."
324,"Worked simply and instantly right out of the box.  If this is where technology is headed, all of us are in for some exciting times!  OK GOOGLE becomes a hands-free entry into so much information, music, etc.  Enjoy."
325,Nice Thing
326,Got this for my parents for Christmas they have enjoyed playing with it for 8 months now.
327,"We love the music that it plays and the sound is outstanding too!  At a voice command we can listen to news , weather forecast, and much more."
328,The intelligent speech recognition is awesome. I was impressed by the number and variety of commands it understands. We love playing Christmas music on spotify and it fills our living room perfectly.
329,Google records when not asked to
330,We are having a lot of fun with this. Can not answer all your questions but we have not set up all the accessories yet.
331,Great!!
332,"Great stuff from google. Looking forward for future updates and more device compatibilty which is very limited right now.
Other than that, shipping was fast, just great."
333,Arrived in perfect shape. Great packaging. Very easy setup. Works flawlessly. Should only get better with time.
334,"Google  Assistance,  was a pleasant surprise.  I  purchased  Echo early on when there was a waiting list.   The voice on GA is really friendly  and when it can't answer a question,  the reply is I haven't learn that yet.  I  like the color,  it doesn't stick out and being smaller is great."
335,So much fun the granddaughter loves it the dogs are intrigued by the animals sounds Google can make and she is learning as we go.
336,Pretty impressive. Still learning and over time should be even better. Works very well with Hue lights.
337,"It works great, its fun and it sounds great to, can't wait to get other items to go with it."
338,"Works well, still new so not as many services supported. I can expect more supported soon."
339,It's been fun setting it up. It has a lot of potential
340,This was a great investment and gift for the entire family.
341,"I have now purchased two Google Home's. They are an incredible device. If you want o automate your home or just use it to gain information, drink ideas, dinner and recipes. This is the product for you. Best part, I am not locked into one retailers ecosystem and can choose who to shop with, if I enable the shopping features."
342,Perfect for tech lovers... highly recommended!!
343,Excellent gadget
344,"My complaints with this are: 1) The alarm even at max volume is not very loud at all. And the alarm sound is a very mellow sound. More of a sound that puts you to sleep, not wake you up! 2) Not set up yet for reminders. 3) When playing music, and I ask Google to stop, it can't hear me, and I am yelling stop! I have to get up and go tap the top of it to stop the music. 4) Unable to look up TV schedules. But overall, I am happy with Google Home. I think it has some bugs as mentioned to be worked out. But it has a ton of knowledge. Ask it most anything. Music sounds great. And you can talk with it very natural. Get your weather in seconds. I sure wished we could give each Google Home it's own name instead of having to say Hey Google all of the time."
345,"It's been said Google Home resembles an air freshener, but in its present form, it serves less of a useful function.  The unit uses a truncated Google Assistant compared to the functions you get from the google bar on your phone, and it's ""future home"" functions are very limited and the required  add-on devices are limited and can be quite costly.  The OK GOOGLE trigger word often is not heard the first time and you end up feeling like a maniac as your voice gets louder and angrier when it does not respond as wanted.  It has trouble finding songs in my Google Play music library, and there are many things that it does not know how to do yet.  Unlike the Amazon Echo interface which has Add-Ons called SKILLS that you can enable.  Google Home can only be updated as Google adds features.  
The price is too high for this, what feels like a pre-Beta release!  The deals from Black Friday at $99 is even too high for what this currently is.  Considering you can get an Amazon Echo Dot for $49 which does and understands a lot more, it is hard to justify the price tag.  Even Amazon's original Echo device which is normally at $189 is a better functioning deal in that the 360 degree speaker blows the Google Home speaker away, and does so much more."
346,The ability to be able to control with just the sound of your voice!
347,"This is a great quality item and the built-in speaker puts out a clear, strong sound. My 14 year old son set up everything and it is easy to use. We own 4 of them now so everyone in our family can enjoy their own music and operate different lights in the house. We also hooked up the Phillips hue lighting system and the Chromecast Ultra to work with our Google Home. It is great for my 85 years young dad to use and he can now enjoy movies and documentaries on the TV without having to use all of the different remotes to get it. All he has to do is tell Google Home to play it on the TV for him! We are very happy with all aspects of this great addition to our home. We were so happy with ours, we gave the neighbor one!!"
348,"We got our Google Home about a month ago and weighed its purchase vs. Amazon's Echo. While the Google Home doesn't have as much functionality of the Echo yet... the sound quality is outstanding and because Google is ""open-source,"" we believe it will have as many if not more functionality very soon. There is no comparison between Google's assistant who answers in full sentences and is lots of fun to chat with at parties. It does integrate with Nest, Google Keep (a list and organizer like Evernote), and many other products. We're very pleased with its purchase and are looking forward to seeing what else it can do over the next year."
349,Such a great light! Thanks
350,"Forgive me I have no clue of what this item really can do, but when I see that you can do a search, well can't my cellular device do this same thing?????"
351,"We have two Amazon Echos and love them.  They have great sound, and have apps that let me access, review and add to my google calendar, and hundreds of other free available applets.  I bought this thinking that it would let me have greater integration and control of my various google/android products.  We use G-Suite (formerly Google Apps for Business) at my office, which is a business suite sharing gmail, calendars, etc.  Unfortunately, Google Home will not access any of this.  So, Echo is better in this regard.  Likewise, Echo has a far superior speaker and sound for playing music, and even voice interaction.  I'll stick with the Echo until something changes."
352,Not sure how I lived before Google Home. Love the news / weather updates and alarm functionality; have even used it to successfully create a calendar. I decided to buy this since I use Google products in my life quite a bit and I don't necessarily buy a lot in ecommerce. [This review was collected as part of a promotion.]
353,"This is almost as amazing as they say. Don't get  me wrong...I love it. So far I've had 3 friends buying it because of my excitement about it. The shopping list is great...syncs right to my phone.  She's good for a laugh sometimes with her answers (the jokes are a little corny)...but I didn't buy it for that.
I just thought the calendar assistant would be working a lot better. I use the Google calendar.
It would be GREAT if she told of new updates. I DO ask her if she learned anything new.
Sometimes she can give me a recipe....sometimes she ""doesn't know how to help with that.""  Hmmmmm
I have until Feb. to return it if I feel that it's not what I wanted it for."
354,I bought this a month ago and the whole family is happy with it.
355,"I liked it a lot. It lets me do google search via voice. It searches youtube videos and casts to my tv. It sets temperature on my nest thermostat. We use mainly for setting timers, hearing news/weather . We can verde with Google home normal language as its good with context based searches. As this is AI based, it should become even easy to converse with it with time."
356,"The item I received was dead on arrival. I can not send it back because it was shipped overseas. BTW, those units were going for $79 on Black Friday and Cyber Monday :("
357,"This is my second Google home, this one is for my Lake condo. It's almost always on, great for music, timer, source of information, etc, etc. great product."
358,"Product works awesome! Simply take out of box, plug it in,  download GoogleHome.com on your phone, home computer, tablet, Google Home will pick it up (like bluetooth) and ask away!
I bought this for my mother, for when she was a little girl she had to use an  encyclopedia to get answers. Lol
She loves it so easy to ask a question and get a quick answer or even ask it to play one of her favorite songs I downloaded for her.
Now she wakes up asks it about the days weather, news, appointments, heck I even install a nest on the wall now it can control the heat and cooling!
Yes I would recommend this product  to kids up to the elderly!"
359,"Will not except my wifi, makes it useless. Waste of money"
360,This little gadget is incredible.  The sound is great.  I love listening to music on it.  Great sound.  In the morning I am greeted by name and told what is happening in my day.  and the alarm sound for waking up is so good my husband gave up his alarm clock.  I highly recommend this item.
361,The product is great. Very informative. Shipping was fast.
362,"Setting this gizmo was easy until one gets to the wifi connection. You must have your own private wifi, otherwise it wont connect. Call your internet provider and create your own private Wifi.  Once it was set up, I could not listen to my music, You have to listen to the music capabilities that it comes, only, you tube(if you have an account, google music play, spotify and Pandora.  
AOL email is not yet included in this device. so to listen to your emails. 
I suggest you wait until they make it much better.
I do have fun asking silly questions, but one can do that in the internet."
363,does not run on windows
364,OK but not too impressed.  Returned the unit.
365,"It advertised that you can connect with your phone,but it won'the work unless you have WIFI!"
366,Ok google ... good google
367,"This thing seriously comes in handy. At first I thought I'd never use it, but man, I really do and it works really well!"
368,I just purchase a Google home and I like the size and the fact that you can change the base of it to other colors. It is very similar to the Amazon Echo. The echo at the moment does more than the home does. But I think after time that will not be the case. You can use it to turn on your lights and some appliances in your house and you can also use multiple ones in different rooms and they will not interfere with each other. Where is the Amazon Echo has that problem. But that is because it is new on the market and of course Google has not worked out quite all the bugs yet but I'm sure they will.
369,"This item works great so far. It can answer most questions  and if you have Smartthings by Samsung it can be integrated to control my Nest Thermostat. The only cons are its not wireless, bluetooth compatible, and if the music's too loud sometimes Google  won't hear you.  Once it gains some ""skills"" and can do things like set reminders it will be amazing.  Would buy again."
370,Unable to download app to my android phone. Taking it back to Wallys
371,This gadget is ok at best. Really not worth the money spent.
372,Mislead!! Not able to play an individual song when asked! Echo Dot can!!!
373,it does everything and makes me so happy!  Hope to get one in each room!
374,"I wasn't sure what I would think of Google Home. My kids were very excited and pushed me to get it and I am glad I did.  At a basic level it handles music very well and expands our choices beyond my owned catalog.  It also handles questions (searches) well.  Allows us to answer questions and add some data to dinner table conversations.  I don't have any smart appliances or lights so not sure how well that works.  I'm looking forward to some ecommerce integrations soon.  

Note: written by a Walmart employee."
375,"This is was gift for Christmas, had trouble with it connecting to my Wi-Fi (was not a Wi-Fi issue) finally connected after about 15 tries. Worked for about a hour then we heard a pop and static throughout various plays. Unplugged a couple of times didn't work. I did love it while it did work. Going to see if I can exchange for the same. If still having the issue I'm purchasing an Echo."
376,"I wanted mood music to go along with daily activities like dinner or exercise.  This little buddy tries its heart out.  Its limitation is that is cannot access all music, undoubtedly due to copyright laws, unless you want to pay for a particular service.  The sound is fabulously rich for such a little thing...no tininess.  It has the added bonus that you ask it about the weather or other questions when you think of them, and it just interrupts the current song for a few moments.  Beware, you must have a wireless system for it to work."
377,"Not very impressed with Google Home so far. Have tried repeatedly to get it to connect with my calendar, to no avail.  I would like it to be able to read my calendar for appointments, birthdays, etc.
Ask it to remind me to take my pills at a certain time and it said it could not do that at this time. I had to set a timer instead. It would be better if it could tell me to take my pills. Perhaps it will be able to do that in the future with upgrades.
It is good for information and weather forecasts."
378,"I love this product, the language translation is very nice for us since our son goes to a French school and it will translate French words and phrases. It will even translate French into English!!!! 

I also tend to look up a lot of useless stuff like ""When Babe Ruth retired"" and I can ask home that kind of stuff and it will tell me so I'm not on my phone as much.

This product is only 2 months old while Alexa is over 2 years old and Alexa cannot do most of the stuff Google home can do unless u wanna order more T.P!! Google home will only get smarter."
379,"I bought Google Home as a last minute Christmas gift for my husband since he commented on how nice it would be to have every time he saw the commercial. After reading and comparing reviews between Google and Echo, Google was an all around favorite. The price was better and another option Echo does not have, is you can turn the ""listening"" off, so it is not constantly listening. Google more accurately provided responses too according to reviews. We are still learning everything this product can do, but so far love the quick ability to get answers to pretty much any question and listen to instant music. You can use a variety of platforms-You Tube, Pandora, etc. One thing to note, this products response time is dependent on your internet connection and speed, so if your internet is slow, it does not function as well and will pause as a song plays and the response time is slower. The only other thing I noticed was it does not ""hear"" you if the volume is turned all the way up. It has a touch control top though and you can control features such as volume here as well. Various volume settings allow for listening throughout our home.  Set up was very easy. Google will also interact with you and tell jokes, Mad Libs, and trivia. My 9 yr old son gets a kick out of it and loves it. We look forward to adding more features such as the ability to control lighting. My only con- I wish I would have purchased it during Black Friday when it was on sale."
380,"I love this ""toy"".  Very new because it doesn't have everything set up for it yet. The price is right! That's excellent! Yet, it's still very new technology that JUST came out yesterday. If you're patient worth technology and want it because of the excellent price, this is what you need."
381,"Setup for this was a breeze! I love the convenience and fun of using my Google Home. I can't wait to get more smart devices I can connect it to. The best part is being able to play my music and the speaker is phenomenal. Flip a coin, give me the weather, play a game, tell a joke, look something up, what's on my calendar, add to my shopping list, play the news, say goodnight, even sing happy birthday and so much more. Love it! Thank you Google and Wal-Mart!"
382,"I have owned an Alexa for over a year now but decided to get a Home as well. They are quite similar - especially in terms of functionality they basically do the same things. But, I enjoy Google Home more because she has a personality - builds humor into her responses (for example, ask her if she is a Democrat or a Republican!). The biggest con is the only way to wake her up for an interaction is by saying ""ok google"" and that gets old fast. Overall, I highly recommend Google Home Assistant as your new home companion!"
383,You cannot sync your music to it.  It does not understand many commands.  I wish I had gone with the Amazon Alexa.
384,This item was not compatible with our WIFI. The description did not tell us that you had to pay for some of the services.
385,Still learning. [This review was collected as part of a promotion.]
386,I was expecting that I will get flexibility to attach more apps with this and can created custom APIs like we have in Echo but nothing is there and also you can not play your song app. I think this is starting face in future will get some more flexibility. But I will return this for now.
387,"Bought the Amazon Echo first, along with the Dots, they were hard to operate, and it cost more to get other programs for it. Ordered the Google Home (for my bed ridden husband) it was Wonderful Easy to set up and get started, been adding features daily. He loves it and it's very easy to operate and interact with. It understands him, where Echo didn't. Love it. Has brightened his day. I even bought 2 more, one for my bedroom and another for the kitchen."
388,"I knew I wanted it,  I didn't think I needed it but I use it a lot more than I expected to. The only thing I thought I could do that it can't yet is wright to my calenda. It reads appointment well but you can't wright now. I use the alarms in it and timers, The my day feature and music. Also I just remembered I cannot set reminders only read what you set on your phone or computer. You can set alarms, timers and add things to your shopping list."
389,"The Home speaker works well and has enough volume to fill a good sized room.  Best of all, it's connected to a better search engine and understands more natural speech than the Amazon Echo, in my experience (I do also have an Echo, and it is also very good).  I don't believe though that this device is worth $130.  If it was $100 or less, I'd give it 5 stars.  At $50 the Echo Dot is a much better deal, but I personally prefer the Google Home."
390,"I chose the Google Home over Alexa because of the supposed ""depth of knowledge"" when compared with Alexa and the fact that Alexa is just an ordering device for all things Amazon. My Google is still learning and I would have to say that it is in the ""infancy stage of knowledge and ability"". I have no doubt that its capacity will be expanded to match or surpass GH, and right out of the box it is fun to play with, but, I want more!"
391,"Good, entry level device. Works seamlessly with my Wi-Fi. It takes a little time and practice to know what it can and cannot do.  I am looking forward to more updates to the device to make it more useful.  Very handy for all types of music and can answer most elementary questions. I will be glad when it can be more personalized with added memory pertaining to the primary user to make it more adaptable. Over-all very good product."
392,"We were so happy to see our grandkids enjoy playing with this tonight.We introduced it to the family by asking it to say ""Grace"" for our Xmas Eve meal, and so it did.  The rest of the meal they intermittenently asked various questions , testing it's intelligence and capabilities. They will be surprised when they come over tomorrow to open their gifts  and realize they too have a ""Google Home""  just like Grampa's ."
393,"Google Home is highly responsive and has the promise to be an extremely entertaining and valuable home accessory.   However because it is so new, it lacks the depth of Amazon Echo's connections, networks and functionality.  On the plus side the Google Home has been deeply discounted lately making it compelling to try.  I'm sure with Google's depth, it will eventually be as complete if not more complete than Amazon's offering."
394,"This little gadget is an awesome addition to your home.  If you use it for nothing more than playing music it's a good value at $130, but it is so much more!  ""OK Google, tell me about my day"" gives you a complete rundown of everything you need to know.  It's like having everything right at your fingertips.  It's even motivated me to buy home-control devices!"
395,Needs improvement. $129 is too expensive for something that cannot compare to Amazon
396,"I have had google home for about one month. It has been fun. It will play music, tell jokes, make my shopping list, and answer most of my general knowledge questions.
My grandson likes the quiz games.  I choose google over Alexa because google gave me better, more complete answers to my questions. However, If you want a good variety of free music, Alexa is better."
397,"Got this for my internet-deprived 80 yo dad.  He loves it. Best Christmas present at the party, entertaining many. I do have privacy concerns, but it truly is an amazing little gadget with substantial untapped potential for home automation. Also relatively inexpensive compared to Echo (and better looking IMHO). It seems to work much better than the Google voice app on my cell phone too."
398,"Bought this for my father so he could avoid using any sort of computer. He's had a few strokes and most of his memories (movies, music) go back to the 40s and 50s. Ironically, I received one from my stepchildren.  There are many questions it can't help me with, while using a computer gets many more answers. Hopefully it's learning my habits and will improve."
399,This is the best intelligent speaker ever built till date. Google does it again with great products as always. This speaker is a work of great beauty and precision. The high and low of the speaker are excellent! Superb sound capacity and flawless design. Echo with Alexa's skill and intelligence and speaker is nowhere near this beauty.
400,"Bought and tried out but it is so far behind Amazon Echo, it has a long way to go to catch up. It barely recognizes commands and has only three home smart devices it can connect to and the music library is horrible. Echo blows this out of the water and I just could not see keeping this until it could surpass Echo. Save yourself some money and just go with Amazon. This device is a joke!"
401,"Great Christmas gift for my husband who has everything! Plays music, works with our chromecast, plays games, and so much more. We have had lots of fun with the Google Home. It is also helpful when cooking with ability to set individual timers for different foods while being hands free. You do have to learn the language to speak to it. Once you do that it is breeze to use."
402,"O ver $100. 90% of questions are answered with""I'm sorry but I don't know how to answer that yet"".  Mostly used to play Christmas music!"
403,"This thing is far better the Amazon Echo. It has more features and does more then just buy stuff.

I use it for music, questions that Amazon Echo can't answer, cutting stuff on like lights and controlling  thermostat.

It also works with Logitech Harmony Elite. The best but expensive remote control with hub.

 And I can hear you from  another room whispering OK Google or Hey Google."
404,When I got this I needed a smart phone to set it up. I don't have a smart phone. When I ordered it you didn't say anything about needing a smart phone. I was going to take it back when a friend came over and set it up for me.  Now I like it.
405,"There were many times google would say ""I'm sorry, I don't know how to do that"" for simple requests. Sometimes she wouldn't know the answer and Siri would. She would create a shopping list for you, but when asked to tell you what was on it, she would struggle the first few times. Maybe on the 4th ask, she would get it right. Too frustrating! She went back to Walmart after a week!"
406,It does do much but play music and doesn't understand too much
407,"The Google home by self is really awesome. However if you really want to see just how cool it is at the Google Chrome cast and the Phillip Smart Hue lights, and the Google home becomes an entirely new experience. I am definitely loving it if you're not sure about it pick one up try it out for a week if you don't like it then take it back but I sincerely doubt it will be going back."
408,"Bought the Google home for my daughter for Christmas...more than satisfied with the Google home!!!!  I think everyone should have one love it!! I was incredibly impressed with Walmart's ""store pick""...order it on line..paid for it on line.. Received an email and text that it was ready to be picked up the next day!!!!   Awesome customer service!!!!!"
409,"Enjoyed in the kitchen over the holidays.  Great to ask random family questions, get cooking advice, and music on voice demand.  Now in kids room and being enjoyed as alarm clock, weather, music, and school calendar.

Not at the all knowing computer level we see in the sci-fi movies but a great start that i expect to expand over the next years."
410,"We're enjoying this device, the sound quality is sufficient, it has some basic features that are useful, but it is still early in development, and could use things like a to-do list, and multiple accounts.  We are happy with the purchase, because we expect continuous development from google, but for now it's just a very expensive radio, with a lackluster shopping list."
411,I really like this item. It is great for getting answers to questions. Not interested in automation of home. Very easy to set up using a free program. The sound quality is good being a little base. It is a very good price compared to amazon echo. Would not hesitate to buy another one.
412,"I think this is overrated.  You have to have specific questions to ask google.,  It's good for the weather forcast and some other things....but it doesn't give feed back on a lot of questions.....it's fun though."
413,"I can't tell you how many times my hands have been covered in flour or something for cooking and I cant touch a timer, this makes it easy to say ok google set a timer, or play some music or really anything. And I love the elegant design, it fits in much better than Amazon Alexa."
414,I'm not sure this rating is fair. I gave this to my blind dad thinking he would have all the answers just by asking. So far it cannot answer many seemingly simple questions. It does well on weather and news and playing music. I'm not sure it is set up correctly  because a Google search on the computer can find the answers.
415,"It's in the early stages so don't expect too much but it does a lot from weather, traffic, turning on/off lights (requires smart light/hub) Turns shows on TV (requires chromecast) But even at it's basic functions the timer is very useful less things are getting burnt these days."
