,title,review,date,yes,no
413,Weirdly needed,"I can't tell you how many times my hands have been covered in flour or something for cooking and I cant touch a timer, this makes it easy to say ok google set a timer, or play some music or really anything. And I love the elegant design, it fits in much better than Amazon Alexa.",2/8/2017,(0),(0)
414,Google doesnt know much,I'm not sure this rating is fair. I gave this to my blind dad thinking he would have all the answers just by asking. So far it cannot answer many seemingly simple questions. It does well on weather and news and playing music. I'm not sure it is set up correctly  because a Google search on the computer can find the answers.,1/11/2017,(0),(1)
415,Cool,"It's in the early stages so don't expect too much but it does a lot from weather, traffic, turning on/off lights (requires smart light/hub) Turns shows on TV (requires chromecast) But even at it's basic functions the timer is very useful less things are getting burnt these days.",2/2/2017,(0),(0)
416,Family loves it,This was so easy to set up and get started. It has what we wanted and has yet to be stumped on a question. Voice activation has a great reach. So far it has been fun and educational. Bought it during the discount and has been worth it. Went between this and an Echo. most things I have is Google oriented and went with this.,1/3/2017,(0),(0)
417,Google Home,This product is very responsive to voice commands providing relevant information just when it is needed. Google Home has a high-quality speaker that delivers clear sound at all volumes. Google Home is both information utility and 'toy.'  It was easy to setup. We had it out of the box and working in less than ten minutes.,1/4/2017,(0),(0)
418,good but not great,"I had already bought an echo, but but it's terrible at answering general knowledge questions.  Google Home is much better.at that, but cannot pair with my Bluetooth home theater for music.",3/10/2017,(0),(0)
419,Sound is great,"but not enough things to do with it so far.  I'm using it with IFTTT to control my WEMO and for that it is good.  It also answers more questions than the nearest competitor and can interpret spoken language better. Google needs to catch up to the other lady, A........a in applications though.",1/19/2017,(0),(0)
420,Unanswered questions,"Unfortunately,  it responds with alot of ""I'm sorry, I can't help you with that yet"".  Got it to impress my husband who still lives in the stone ages, fail!",3/17/2017,(0),(0)
421,Great product,"I use the GH to make internet inquiries, keep my calendar, and am connected to the Nest thermostat. I have not moved to the remote lights yet. Still need more product applications, like security, tv, and appliances.",2/23/2017,(0),(0)
422,Couldn't get it connected to the router,The product itself looks good and would be fun to use but you need to have it connected to your wifi in order for it to work.  We were unable to connect to the Comcast router so it's going back.   It's disappointing but there's no immediate answers as to what the problem is.,1/25/2017,(0),(0)
423,Not yet ready for prime time,"I own the Alexia and 3 dots, but I thought I would give Google a try.
I should have waited until Google actually supports anything worth while. 
Yes using IFTTT you can make Google work with some devices, but out of the box it's pretty lame.
No native support for Wink hubs or harmony hubs means I will be sticking with my Alexia for now.",12/10/2016,(0),(0)
424,Can't hear me,When I bought this I realized it was new and didn't have as much to offer as Amazon Echo but I figured that would quickly change. What I didn't expect was that the Home doesn't hear my voice well. With volume set at six  I can stand close and scream and not be heard. I returned Home and bought and Echo.,1/4/2017,(0),(1)
425,Google Home,Really do like this It was a great thing to buy for my husband who has dementia He can find out what day date and weather in on question,3/17/2017,(0),(0)
426,Fun and useful!,"I decided to get this Google Home after I had the Amazon Echo.  There is a lot of overlap in uses for these two, but only the Google device allows you to utilize all the cool lookup power of Google.  If you enjoy having Google voice recognition on your phone, you will love having this in your home.",1/3/2017,(0),(0)
427,New Favorite Toy,"Haven't had so much technological fun in a long time. Google Home has become a member of the family -- way smarter than my wife and me. Has answers most of the time, but, when no answer almost always indicates the she's working on it. ""Yet"" is a big word. I've been spreading the word among friends and family. Lots of takers....",12/9/2016,(0),(0)
428,Fun and Easy,"We're very happy with our Google Home.  It's easy to set up and you can start using it right away.  We especially like the ""add to shopping list"" feature which downloads a list to your phone.  I didn't know much about it when I ordered but I'm glad I did.  The in-store pick up at Walmart was fabulous!",12/30/2016,(0),(0)
429,Amazing product,"This is an awesome product, bought for my husband for Christmas and he uses all the time and my son(7) loves it, when he doesn't know how to pronounce a world when reading he spells it to Google and she tells him the word and definition. My daughter(4) loves to ask Google to tell her jokes!",1/6/2017,(0),(0)
430,Useful and FUN,"We have an Echo Dot from Amazon but we're a Google family.  This device plays our music, reads our books to us, turns our lights on and off and more.  We're still learning all that Google Home can do for us and so far, it's a very convenient tool to have in the house.",1/19/2017,(0),(0)
431,Google Home,"The product works just as expected. We are thrilled with it. Most importantly, although I am not a frequent shopper of Walmart, this item was out of stock and it arrived sooner than expected for pick up. The woman at the pick up counter was friendly and helpful. Well done Walmart.",1/10/2017,(0),(1)
432,Google Home,"Bought the Google Home for my husband.  He just loves it, was easy to set up and can get information on just about everything.  He loves the music feature and the news and weather of the day, as well as all other things you can ask it. Great product for the money.",1/19/2017,(0),(0)
433,Google Home,I was amazed at how easy it was to set up. I was also surprised at how much even my younger grandkids enjoyed it. It very accurately understands your requests. The music selection is nice even if you don't sign up for the subscription service. I bought ten of these as presents and everyone is really enjoying them.,12/14/2016,(0),(0)
434,Great Google Home,"Very easy to set up.  Lots of fun and also convenient when having a disgreement about something.  Google Home will solve it by just asking the question about the disagreement and she has the answer.  As for Walmart, received the product extremely fast and exactly what was ordered.",1/5/2017,(0),(0)
435,Google home,This product is awesome! It's user friendly and easy to use!...it does take some work from you...creating playlists...connecting to smart devices...but we've already had hours of fun just asking it questions!...great tech addition to any household!...two thumbs up great family fun!,1/1/2017,(0),(0)
436,Google Home,"This is a fun little creature! I get a kick out of asking certain questions and am impressed at how fast she can answer. Apparently there are quite a few actions she can not give info on at this time. I am guessing as time goes on, there will be more and more added to improve things.",12/30/2016,(0),(0)
437,its not responding all the time,"Some times its not responding, it hears me when I called it, and the light respond but it will shut off without responding even not saying that it did not understand me.
cannot recognize or gives the full supports in my region (United Arab Emirates), it wont play music in my region.",12/28/2016,(0),(0)
438,AMAZING,I really love this Google Home Item. I love it so much I had bought my husband one for Christmas. And it was the best thing going I thought so we purchased another one on line before everyone gets hip and they are hard to find. WE LOVE IT!!!!!!!!!!!!!!,1/12/2017,(0),(1)
439,Google Home,"Still learning how to communicate, but it works great for most things we've tried. Example, she couldn't fathom the Howard Hugs connection to the Spruce Goose and date of it's first flight. Google had the info, but she couldn't get it. May have been semantics issue.",1/3/2017,(0),(0)
440,Google Home,"We were able to get the Google Home from WalMart when it was not available at other stores.  This allowed us to get our son the perfect Christmas gift.  He loves technology and as Google Home gets more advanced he will be able to do new things  daily.

Thank you!",1/4/2017,(0),(0)
441,Great fun but... major issue,I love google and I love the idea of this but there is a hardware issue that HAS TO BE WORKED OUT before you buy. The mic stops working within days or a week. Look online. Search for Google Home Mic Static. Thousands of people are having to return their units.,1/3/2017,(0),(0)
442,"Ok, Google","Excellent and Practical!   Great for the hard to gift person -- or if you have kids and/or for seniors.  Its like opening a browser and searching Google, but instead of reading your search, she verbally responds to your request.    Cool gadget!  Highly recommend!",1/1/2017,(0),(0)
443,Works great,This one is for my living room. I have already one in my kitchen. Together with chromecast audio the google home is an awesome multiroom sound system. Sold my sonos system and havent looked back since. Great for home automation aswell. Im very happy about my purchase.,12/28/2016,(0),(0)
444,Google Home is great,"Loving Google Home and Goggle Cast (tv).  Always turned on at home for any music we requested, Google knows and information be it fun or informative Google knows!!

Great gift for the both of us.

Ofie and Sev",1/30/2017,(0),(0)
445,I love this thing!!,"this has prevented many arguments in our house.  My husband and I use to banter back and forth about different facts.  Now, we just ask Google. if you are married or if you have children,get it! it will stop a lot of arguments and bring peace to your home.",1/5/2017,(0),(0)
446,Need to buy all the very expensive accessories,"The commerials show that you can do all kinds of things with the google home. But they don't tell you , you must spend hundreds more to get them to do these things. I was very disapionted. And two of my friends took theirs back.",1/17/2017,(0),(2)
447,Great Product,I have enjoyed the product and it has saved me a lot of time. Great price and delivered promptly!,3/8/2017,(0),(0)
448,Has potential but not quite there yet.,"Has potential but not quite there yet.  The device can certainly benefit  of more smarts.  I want to be able to tell google home to play my music on my Bose SoundTouch in a specific room (living room, bedroom or wherever).  It can't even tell me what movies are playing near me.",12/13/2016,(0),(0)
449,GREAT Product that gets BETTER EVERYDAY !!,Having a lot of FUN and ORGANIZING our hectic lives with our Google Home !!!   She learns and teaches us new things everyday !!!   Looking forward to learning with her and cannot wait until she integrates more with Google systems and more !!!,1/3/2017,(0),(0)
450,Much better then others.,I originally purchased Alexia and was not happy. She cant do what Google home can. I sent her back and purchased Google Home and could not be happier.,2/14/2017,(0),(0)
451,fun and helpful,"I haven't learn a lot so far and I don't have a smart house, but it has been very helpful. Spelling words for me, telling me the temperature, playing games with it and talking back and forth and some times she will answer. Fun!",1/10/2017,(0),(1)
452,Google Home,"I purchased this devise for my husband and son for Christmas. I was not sure how they would like it. They are both very ""techie"" and I was a bit hesitant buying something like this for them. They both just loved it. I recommend this product.",1/2/2017,(0),(0)
453,Almost there,"The Google Home is great.  I'm glad they finally came out with a competitor for the Amazon Echo.  Once Google allows more third-party integration, the Google Home will be much better than the Echo.  As it stands, the Echo has more native integration with smart devices.",12/12/2016,(0),(0)
454,Great piece of technology,Very convenient voice recognition tool that helps me cast netflix services and music directly from the unit. Wouldn't trade it for any other device on the market.,2/8/2017,(0),(0)
455,Good and getting better!,"I got this after I got frustrated by Alexa's inability to answer simple ""google"" questions. 

Its still missing some abilities but should get better with future updates. 

They need to enable the ability to change the ""ok Google"" trigger term to something shorter and easier.",12/6/2016,(0),(0)
456,Love it!,"Bought this as Christmas present for the family. Like that it is white, instead of black like Echo. 
So easy to play music by just requesting it. The speakers are high quality.  
Not a necessity but a fun easy addition to your life!",1/5/2017,(0),(0)
457,So much fun!,So much fun! Awesome technology. Surprisingly small.,3/12/2017,(0),(0)
458,Great product,"From the moment we plugged it in, the fun began. I actually felt sorry for Ms.Google...from questions about everything and listening to all types of music, it's a wonder she didn't shut down.
I would recommend this to everyone.",1/5/2017,(0),(0)
459,Lack of support sites,"Google home as an assistant and a speaker is as good as amazon echo but cuz echo is way earlier than google home they have devoloped much more skills and support 
Where the google home is released more than ten months now there no new skills or support for it",12/11/2016,(0),(0)
460,Awesome little thing.,We just got this little gadget for Christmas.  It was very easy to set up and the sound that comes out of it is AMAZING!! We love our music and this really delivers great sound. Ask it anything - it is totally awesome! We love it!,12/30/2016,(0),(0)
461,Google Home. First intro to world of things,"Device works great. Setup was pretty straight forward.
Since Google is sort of new to Smart Things I had to do some trial and error to get my first devices (lights) to work. 
I'm sure as Google goes forward they will expand to become leaders in the Smart World!",12/8/2016,(0),(1)
462,Great product,I love my google home,3/15/2017,(0),(0)
463,Google Home,I purchased this as a gift to my son and his family. They rave about this product . They absolutely love it. My grandchildren can not wait to get back to school so they can put google home to the test with homework assignments.,12/29/2016,(0),(0)
464,Fun little toy!,It's completely unnecessary but a fun little thing to have around. I'm finding uses for it and will add accessories to control lights and TV. I'd buy it again.,2/1/2017,(0),(0)
465,Lot's Of Fun...,"Got this at a Black Friday low price. Simple to set up, extremely reactive, so far the whole family is having fun with it, and we are hoping google comes out with a line of integrated accessories (wall / light plugs etc), n the future.",12/23/2016,(0),(0)
466,Love it!!!,"Love it. The only thing I would
Like to see is it make a call or text someone.. but I'm sure it will come later since this is new and they will see what people need and want. But I do love it and use it everyday...",1/4/2017,(0),(0)
467,Sweet. Works well.,"It's a lot of fun and you can obtain a lot of info, useful & fun!!!! Our grandkids just 
love it, and you can't believe the questions they ask!  (It also teaches us about 
our grandkids!)",1/18/2017,(0),(1)
468,It's really good,"I like this product it's really good and the speakers are great, will use it a lot for music, and getting information we need,",2/12/2017,(0),(0)
469,Love this one!!,"Wow, ask it a question and it gives you an answer. Ask for a specific song or best of a decade and it's done. It's like having a best friend always in the house, only you really don't have to entertain.",1/10/2017,(0),(1)
470,Quality product,I bought the Google Home for my wife for Xmas. It has worked great so far. I believe once more features get added to the system it will get even better. I would definitely recommend this to anyone. Especially for the price.,12/29/2016,(0),(0)
471,Ok Google.,Excellent. Responds very well. Google says they will be updating their database on this device.,2/22/2017,(0),(0)
472,great tool to access google,a good starting place to get your google on. fun to do voice searches and have only just begun to integrate into home automation systems. it'll be a lot easier to just say turn off the lights rather than to find my phone or tablet to do the same.,12/13/2016,(0),(0)
473,Home Automation,"Great product, great sound, great automation.",3/7/2017,(0),(1)
474,A must have!,I did a lot of research before deciding to by the Google Home.    It is just as good as all the reviews that I read on it.  It is easy to set up and simple to use.  I would recommend this to anyone of any age.,1/5/2017,(0),(0)
475,Google home,Bought this as a birthday gift for my so in-law.  He loves it and do my grandchildren.  Definitely worth the money,2/14/2017,(0),(0)
476,This was a gift,"The recipient had never seen or heard of this product, or other products like it.  Therefore she was really excited once she set it up and started using it.   It definitely was a HIT!",1/17/2017,(0),(1)
477,Great Purchase,Google Home works terrific!,3/10/2017,(0),(0)
478,Awesome,I love it,3/13/2017,(0),(1)
479,Can't Activate,"You need a android device or smart phone to activate.  I only have a Kindle Fire which does not support Google apps. And yes, not everyone in the world has a cell phone. Will have to  return as it was a gift for my son.",12/26/2016,(0),(0)
480,Excellent search capabilities,"My Dad is blind and has been using the Amazon Echo for over a year and found the Search lacking.

The Google Home really excels in voice Search.  And it provides detailed voice answers.  Overall he says the Google Home is his top pick.",12/8/2016,(0),(0)
481,Good gadget,I love this speaker nice and loud l. Ypu habe to talk to it for a while so it can answer your question appropriately.  It doesn't do well woth children voices.,1/20/2017,(0),(0)
482,Love it,"I stream music to my sound bar in my tv now more than I ever did. It's not perfect, but does an excellent job at abating l answering random questions. It's alot of fun!",1/16/2017,(0),(0)
483,Awesome,This Google Home is Awesome!  when you play music it has enough bass to sound great. you can play trivia and mad lips and you can ask it pretty much anything. you will never want to be without your google assistant,12/14/2016,(0),(0)
484,.,Worked great for a few days. Then for no apparent reason it would not play music when requested or would only play one song or two then stop. Very dissatisfied with this product. Don't buy.,12/26/2016,(0),(0)
485,Oh yah,"It's my right arm, any music I want plus",2/22/2017,(0),(0)
486,"Amazing item,  needs development.","For example, Google Home only reads off one calendar and Google Keep isn't able to be used yet. These need to be implemented to be as effective as possible.",1/10/2017,(0),(1)
487,Love it,"Had it for a week and think it's great. Can't figure out how to get it to play podcasts but besides that we love asking it for daily news, play music and other fun things!",1/2/2017,(0),(0)
488,I love it,Love my Google Home.  It has brought music back to our lives.  We love the DJ aspect.  Attached to blue tooth speakers by Google Chromocast Audio.  The entire house rocks.,1/2/2017,(0),(0)
489,Google home,Works great,2/28/2017,(0),(2)
490,Great product,Works as advertised. Answers more questions than other smart home devices. Can control other chromecast.com devices. Great Product!,1/20/2017,(0),(0)
491,awesome,My wife loves this,2/26/2017,(0),(1)
492,cool,"voice control of the house is the next big thing, Google has done a pretty good job with this. It doesn't quite do all the things the Amazon one does just yet but if you use IFTTT you can do a lot.",12/14/2016,(0),(0)
493,Goigle Home is awesome!,My husband is enjoying all of his favorite music by simply asking for it! The speakers are so clear! Throw any question at Goigleand it's answered right awAy! Love it!!!!!,12/29/2016,(0),(0)
494,Excellent interface to Google,"Just like the OK Google function in my Android phone, Google phone answers questions, plays music on request, and with adjuncts, can control home appliances, lights, etc. Fun toy to have and interact with.",12/7/2016,(0),(0)
495,Needs a bit more compatiblility,"Great speaker. Some voice commands do not work. Cannot make to do list, add to calendar, or message people. Chromecast voice commands are difficut. Wish did not have to say okay google for every request",12/9/2016,(0),(0)
496,GOOGLE !,Read every review I could find before buying.  Just waiting for the day when I can add items on my shopping list directly to Walmart Grocery.  That would make me REALLY happy!  Very satisfied.,12/16/2016,(0),(0)
497,Cool,Love this for background music and the occasional question. Has some glitches in connecting to pandora some times but all in all cool,1/15/2017,(0),(1)
498,Great Item!,"I expected something great, the Google Home is what I'm expecting for this kind of item. Now I need to buy more smart things (bulbs, switches, keyless deadbolt ...) to use it at 100%.",12/20/2016,(0),(0)
499,Great product,No problem with setting it up. It has to have an access to internet and that's the only  thing required from a user. I like it very much and the only thing could be  added text messaging capability.,12/8/2016,(0),(0)
500,Excellent product.,"It has been fun getting to know how to use Google Home. It does have some limitations; however, I believe Google will rectify these items over time.",1/5/2017,(0),(0)
501,Christmas present,I bought the Google home for my wife for Christmas and she absolutely loves it. It is amazing the amount of information you can get by simply saying Ok Google.,12/30/2016,(0),(0)
502,Google home - fun and useful,".Connected to my nest, chromecast, philips hue and of course Netflix and YouTube red.. can't complain. My 7 yr old daughter enjoy playing trivia and story creation..",12/26/2016,(0),(0)
503,Google home,Purchased this as a Xmas gift. My son in law requested this and they love. I also purchased a Google gift card for them so they have access to more apps.,1/1/2017,(0),(0)
504,Fun and eductional for all ages.,"I was surprised at how much Google Home knows.  My grand kids spend hours with it asking for music and jokes. 
btw: The jokes are kinda corny,",1/6/2017,(0),(0)
505,Google home,"Its awsome my husband has ordered more for our room upstairs my mother in law was at aww with it, know she wants one please please order great great product",12/30/2016,(0),(0)
506,Google home,It only syncs to one calendar apparently but hopefully an upgrade will occur soon so don't have to buy new product BUT the rest ion the google home is great!!,12/29/2016,(0),(0)
507,Love!,This is amazing! Google home can hear you from a distance. Only bad thing is that it's hard to connect to other devices if they aren't also new; like a tv.,12/30/2016,(0),(0)
508,Awesome addition to the home.,"Just for the music alone it's worth it.  I was able to play music I have not heard in years.
It has access to so much information.  It's a regular encyclopedia.  I would like one in every room.",12/7/2016,(0),(0)
509,It's ok,I wish it was compatible with my Iris smart hub...  it's wired all through my house. But it's a good thing to have if your a googler like myself.,1/3/2017,(0),(0)
510,Amazing!,This thing is so much fun and endless possibilities.  The sound is just amazing. Great value for the money,1/20/2017,(0),(0)
511,Google home,Purchased for a gift and enjoyed watching grandkid's experience with the product.,1/29/2017,(0),(0)
512,Okay - but not THERE yet,"Functionality is limited - she OFTEN ""does not know how to help with a that yet""",1/29/2017,(0),(1)
513,Google Home,This is a good speaker with decent sound qualities that is connected to your Wi-Fi. The added bonus is that as updates continue it will become functional with the other services,12/14/2016,(0),(0)
514,Not ready yet,This does not measure up to Amazon's Alexa-based products yet.  The music selection is very limited and usually results in a mix that may contain one or 2 songs from the requested artist.,12/7/2016,(0),(1)
515,love the sound and music capabilities.,Still learning how to use it but it has been great to ask to hear something and hear it without searching and clicking. It's our new favorite toy.,12/31/2016,(0),(0)
516,Great tool and entertainment!,"Great for me and my 84 year old mom! She can ask for sums,  etc.,  so she won't have to use arthritic fingers on a calculator!   Love requesting facts!",12/28/2016,(0),(1)
517,Google Home,"Love Google Home! Easy to set up and use. Wish I could link it to more than 1 google account, but that wouldn't keep me from buying it.",1/5/2017,(0),(0)
518,Best item  ever,I really love it! I didn't know that google home came with 6 free months of YouTube red ! They really plugged it .,1/14/2017,(0),(1)
519,Great Xmas Gift,"Good price.  Very good gift.  Google still needs to make it provide more info, but it is almost just as good as the Amazon Echo.",1/5/2017,(0),(0)
520,google home,overall helpful but a lot of Google.com not available on home when we ask simple questions. hope google corrects this,1/10/2017,(0),(2)
521,Best gift ever,I bought this for my dad for Christmas and he claims it is the best gift he ever got. He loves it! Very user friendly and fun!,1/6/2017,(0),(0)
522,Great Gift,"Easy set-up,  good sound.  First practical use was asking it for a ham glaze recipe.  It didn't hesitate a bit.  Easily synced to Google Calendar.",12/27/2016,(0),(0)
523,google home,"Will not play music. google says it's playing music from Pandora and nothing plays. 
other than that we have enjoyed it so far.",1/3/2017,(0),(0)
524,Still undetermined,"While we enjoyed the product at first, it stopped worked after day 2. Still trying to get it replaced. Undetermined review.",1/5/2017,(0),(0)
525,Love It,"So far we love our GoogleHome.  She gives us the news, weather, scores, random trivia questions, adjusts our smart lights when we ask her, she's the total package!",12/14/2016,(0),(0)
526,my google,"Performed as expected and advertised. Doesn't know or have all the answers, but is entertaining.  I wish we would have tried it sooner.",12/29/2016,(0),(0)
527,Google Home,"Some may think this is just another must have for grown ups, but I love it. It has some learning to do, it won't take long if u know Google.",12/26/2016,(0),(0)
528,This thing is fast - better than expected,when asking questions I am surprised how fast this thing is.  Don't have any devices connected to it yet. Work in progress.,1/3/2017,(0),(0)
529,Great product,Great Product,2/12/2017,(0),(0)
530,I love it,Does everything I expected from it.,2/5/2017,(0),(0)
531,Awesome,"Quick easy pickup when ordering online. Love the google home! I am going to get one for the home, that one was a gift.",1/5/2017,(0),(1)
532,Great value,I ordered this item online for my son and had it shipped to his home.  It arrived ahead of schedule and he loves it.,1/5/2017,(0),(0)
533,Fun with Google Home,"Fun product to have to utilize all ""Google"" options as well as to listen to music!  Still has some quirks to work out re calendar status hence only 4 instead of 5 stars.",12/7/2016,(0),(0)
534,Great gift!  My husband loved it!,Love love Google Home!!  She gives us the morning weather and top news!!! My kids love to ask her math questions!!!,1/5/2017,(0),(0)
535,A work in progress,I wish it did a few more things. Knowing Google more will come in time. I am still learning to speak so it understands me,1/2/2017,(0),(0)
536,Recommend,Recommend.  It's a little pricy but my daughter is happy with it.  Super easy to purchase on line and pick up in store.,1/3/2017,(0),(0)
537,Google Home,"Wow, what fun you can have with the Google Home.  Great music and the sound out of the little box is great.  Go get one......",12/31/2016,(0),(0)
538,Love it.,Very useful. Hey Google that is always on and available.,1/28/2017,(0),(0)
539,Google Home,So far ...great....we love them.  They were sent to us packaged perfectly! Thank you ??,1/16/2017,(0),(0)
540,Google Home,My purchase is a Christmas gift.  It is wrapped and the box has not been opened.  I bought on a Black Friday deal and the price was good and a very quick delivery.,12/8/2016,(0),(0)
541,Love it!,It works great! Love it! I bought it for a friend for Christmas and now I am going to get one for myself!!!,1/6/2017,(0),(0)
542,google home,"very easy to use, a lot of people we know have or want one, wife & grandkids love it",1/15/2017,(0),(1)
543,So So,Waste of money. I  have an app on my IPad that does the same thing for less money.,1/16/2017,(0),(1)
544,Hey very good tool for the home,little smarter than Alexa as far as information goes there's not a whole lot more to say than   it's very good when you need information,12/21/2016,(0),(0)
545,The best personal assistant !!,The abilities of this little device are endless!  Best investment for my retired parents. They love it!!,1/5/2017,(0),(0)
546,Lots of fun!,A gift for my son.  He loves it.,2/1/2017,(0),(0)
547,I Give this product a 4,"Reason for a 4 and not a 5 rating.  Google home is great, it is still in the learning stage.

I bought 3  for my family.

Google Home is fun and entertaining.",12/7/2016,(0),(0)
548,Google Home,"I love it, the sound is clear and loud.  I also love the design, blends in with my decor.",1/11/2017,(0),(0)
549,"prompt service, picked up local Walmart.",Item works well as expected.,2/1/2017,(0),(0)
550,Google home,The set up for this device is not compatible with Kindle Fire.  Returned it because of this situation.,1/3/2017,(0),(1)
551,google home,I love it and I know it will only get better as google start to update it.,1/15/2017,(0),(1)
552,awesome!,I gave this to my Dad for Christmas. He absolutely loves it and so does all his friends that come over.,1/2/2017,(0),(0)
553,Fun to Use,Google Home is very easy to set up. Fun but helpful technology that is a great addition to the home.,1/3/2017,(0),(0)
554,really like,Only had a few week's not sure if you have to pay for music yet. As far as questions we have asked excellent,12/29/2016,(0),(0)
555,The Google Home is Amazing,It was very easy to set up and it's so convenient. it is always ready to go and can answer any question.,12/31/2016,(0),(0)
556,Not as good as Alexa,I bought this cause i use the google search engine on my phone all the time but it doesnt work very good for questions.,12/23/2016,(0),(0)
557,Awesome!,Got this for my husband for Christmas.   The whole family is enjoying it.  It's awesome!,1/6/2017,(0),(1)
558,Lovely invention,Great value for the money. Would highly recommend  this. Very easy to use,1/12/2017,(0),(1)
559,Google Home,Nice to have around the house to answer questions and play music. May hook up to home lighting system.,12/30/2016,(0),(0)
560,Google Home Fun,Bought Google Home as Christmas gift for adult daughter.  She loves it!,1/12/2017,(0),(1)
561,Some disappointment,There are many things I like about it but it was very disappointing that I can not Bluetooth with my phone!,12/27/2016,(0),(0)
562,"Gread now, better over time","If you are already part of the Google ecosystem, then this is a great addition. It's capable now, and getting better with every update.",12/12/2016,(0),(0)
563,Handy to have,"We use it to set alarms for reminders to take medicine, etc.",1/16/2017,(0),(0)
564,For the whole family,Everyone uses it for music or weather updates or even to tell a joke.,1/12/2017,(0),(1)
565,love it,"Easy to download app to your cell phone. So many things, music, news, information etc...",1/4/2017,(0),(0)
566,Wicked fun product,the whole family enjoys the google home!,1/22/2017,(0),(0)
567,Google home,My family loves this new technology.  It has many uses and works great in the kitchen where we gather.,12/27/2016,(0),(0)
568,Fun Product,This is a fun product to have in the house.  Great audio and pretty simple to use.,1/4/2017,(0),(0)
569,I need lots of help setting it up,"Same as before need help
No instructions on what to do to get it working, when your old it hard",12/29/2016,(0),(1)
570,Wifes entertainment,My wife has more fun learning how  to use google home and she claims it a better listener them I am.,12/26/2016,(0),(0)
571,Love it,Whole family loves it.. still learning new things I can do with it everyday,1/6/2017,(0),(1)
572,How does this thing work?,It took 4 people and 2 calls to xfinity and 4 days to get this item to work.,1/5/2017,(0),(1)
573,home buddy,Works great. Fun to play with and learn from.  Just waiting for new updates  now for cool stuff.,12/27/2016,(0),(0)
574,Google Home is super fun!!!,I bought two for Christmas gifts and both people love them!!!,1/10/2017,(0),(2)
575,Awesome product,"Excellent product, fun, informative, works well",1/15/2017,(0),(1)
576,Google Home,A new technical invention that does EVERYTHING it claims it will do!  Amazing (I'm an engineer)!  Walmart has the best price.,12/9/2016,(0),(0)
577,Made a great gift,We got this for our parents for Christmas and they loved it!,1/8/2017,(0),(0)
578,love this,love the product and the ease at which I bought and picked up from walmart !!!,1/1/2017,(0),(0)
579,Yes,I like that I have the ability to get answers response quickly without looking it up.,12/28/2016,(0),(0)
580,Great product,Great product,1/25/2017,(0),(0)
581,Reviews beat Amazon Alexa/echo,Christmas Present to my daughter.  She loves it!!!,1/11/2017,(0),(1)
582,Home buddy,This was a gift for my son and he is very pleased.,1/11/2017,(0),(1)
583,Google Home review,I use it for music everyday and even ask it random questions.,1/7/2017,(0),(1)
584,Love this,Great item.  My favorite xmas present by far,1/13/2017,(0),(0)
585,I love this Google Home!,"Plays music, sets timers, adds items to my shopping list. Answers all kinds of questions. How did I ever manage without it?",12/7/2016,(0),(0)
586,Easy,"No Drama...easy to order, and simple to receive.",1/11/2017,(0),(1)
587,Google home,Excellent product. Need to be fairly specific with your question.,1/4/2017,(0),(0)
588,Its ok,Google Home doesnt always understand the command. But its VERY entertaining!,12/30/2016,(0),(0)
589,Google Home,Very good product and even better experience with Walmart in picking it up.,12/30/2016,(0),(0)
590,"Love it!, but need more update",Hope google brings in more updates and connect with more apps and devices. I recommend it better than Alexa,12/14/2016,(0),(0)
591,Google Home,Have only had a couple weeks but so far I am pleased with it....,1/3/2017,(0),(0)
592,This is awesome,Very neat to have in your home you will enjoy it,1/10/2017,(0),(1)
593,Love this thing!,We've been using it about a week now and I love it!  I cant wait to see what updates they come up with.,12/16/2016,(0),(0)
594,Good competitor for Amazons Echo,Neat device. Good sound and voice recognition. With development of additional skills will become a must have assistant.,12/7/2016,(0),(0)
595,Great so far.,No problems with set up and works well. Great for getting information on weather and about anything you can google.,12/9/2016,(0),(0)
596,Quick and easy,No need to fight a crowd just purchase online 4 quick and easy pickup,12/31/2016,(0),(0)
597,Technology,This thing is great... I can't wait until they expand.,1/6/2017,(0),(0)
598,disappointing,"Stuck on ""I'm sorry. I don't have that information"".",1/6/2017,(0),(2)
599,Son's Christmas present,Everyone took turns talking to google! Very informative and entertaining!,12/27/2016,(0),(0)
600,Google Home Yes,Amazing anything you want to know answered in 5 seconds or less!,12/31/2016,(0),(0)
601,Google Home,Got information instantly,1/15/2017,(0),(1)
602,Must have if you're an Android person !,Great addition to your home. Easy to set up and use. It's like having your own personal assistant !,12/14/2016,(0),(0)
603,google home,Data base is fairly large.  Gives us info and a good laugh,1/2/2017,(0),(0)
604,Google Home,I love my google home....... so much fun.......    And very intelligent!!,12/26/2016,(0),(0)
605,Very good,My kids like it,1/18/2017,(0),(1)
606,LOVE IT!,Have Android Samsung phone and use Google all the time.  Anxious to use this and access Google more often!,12/9/2016,(0),(0)
607,Great Product,The whole family loves it.  Was a great purchase!,1/5/2017,(0),(0)
608,Recommended,Works great. Very informative and Entertaining,1/6/2017,(0),(0)
609,Google Home,Does what it's suppose to do!,1/12/2017,(0),(1)
610,Google Home,I got this for my husband for Christmas and he is enjoying it.,12/30/2016,(0),(0)
611,Google Home,"Great addition to my home. Just ask about the weather, news sports or play any song. I love it.",12/14/2016,(0),(0)
612,google home,It wasn't for me it was a gift to a friend so far it works great!,12/28/2016,(0),(0)
